idx,topic,group,perplexity,log_perplexity,token_count,source_file,database_id
1453,,Whole Clean Corpus,49.71487186399924,3.906304121017456,201,procon_corpus.jsonl#L1277,c73ff091-370e-4bec-bab1-b59bb7145f24
1454,,Whole Clean Corpus,63.8970867373028,4.157273769378662,178,procon_corpus.jsonl#L1277,5c285597-3f33-4baa-b039-b7d67db8c6eb
1455,,Whole Clean Corpus,41.85589570642735,3.7342326641082764,163,procon_corpus.jsonl#L1278,2a10aa5d-3e8e-4e5d-b69d-358f44e7e89e
1456,,Whole Clean Corpus,93.23870505016232,4.535162925720215,63,procon_corpus.jsonl#L1279,3bdd32b0-1b93-48d8-9139-6ec7b4bba90e
1457,,Whole Clean Corpus,48.58240567365661,3.8832614421844482,82,procon_corpus.jsonl#L1280,de17049f-af91-4b6e-a8d3-92c1b54a67b7
1458,,Whole Clean Corpus,67.9903048947482,4.219365119934082,148,procon_corpus.jsonl#L1281,795e4260-1390-4e5c-8266-66edfda94b77
1459,,Whole Clean Corpus,34.53650030456902,3.5420167446136475,154,procon_corpus.jsonl#L1282,7d2e4883-cc59-430b-ab9b-0bda9a673499
1460,,Whole Clean Corpus,41.43144076754488,3.7240400314331055,176,procon_corpus.jsonl#L1283,27c8f069-2e6b-4f29-998e-f1bd8bf8683c
1461,,Whole Clean Corpus,54.45834222769046,3.997436046600342,72,procon_corpus.jsonl#L1284,8ec15865-ac62-4c7b-a69c-a2bd876e78d9
1462,,Whole Clean Corpus,36.89604882470537,3.6081044673919678,96,procon_corpus.jsonl#L1285,e3c5c845-610b-41e8-8173-f0d0943f63d8
1463,,Whole Clean Corpus,27.73580295153303,3.3227241039276123,151,procon_corpus.jsonl#L1286,35a285f5-f81f-4af7-8afc-425d1e35c637
1464,,Whole Clean Corpus,281.4387921978185,5.6399149894714355,54,procon_corpus.jsonl#L1287,958787e4-89ac-4b9c-9ddc-17251b2feb7d
1465,,Whole Clean Corpus,46.40820397965423,3.8374762535095215,128,procon_corpus.jsonl#L1288,bfcd08e4-9376-4baa-b401-9c3d2b5dd275
1466,,Whole Clean Corpus,32.19020722807358,3.4716622829437256,143,procon_corpus.jsonl#L1289,bfcd845a-3aac-46f6-aa0e-b495db3f3b0c
1467,,Whole Clean Corpus,42.67219042844063,3.753547430038452,52,procon_corpus.jsonl#L1290,41aac2ed-6440-4257-a5d4-7a5d2cf64ff2
1468,,Whole Clean Corpus,32.01914818229055,3.466334104537964,139,procon_corpus.jsonl#L1291,3e09c73b-76f2-423d-9925-710f692ce9d8
1469,,Whole Clean Corpus,45.64200422471302,3.820828437805176,88,procon_corpus.jsonl#L1292,802c15a7-ae28-4b37-8abc-3b2c8300d9c8
1470,,Whole Clean Corpus,46.92119516090037,3.8484694957733154,178,procon_corpus.jsonl#L1293,156aa678-1847-49d9-8cf5-6d70188e60e4
